,fruit_veg,meat_fish,fuel,rent,own,clothes,medical,school
Metro Alaska,CUUSS49GSAF113,CUUSS49GSAF112,APUS49G72511,CUUSS49GSEHA,CUUSS49GSEHC01,CWURS49GSAA,,
Phoenix-Mesa-Scottsdale,CUUSS48ASAF113,,,CUUSS48ASEHA,CUUSS48ASEHC01,CWUSS48ASAA,,
Los Angeles-Long Beach-Anaheim,CUUSS49ASAF113,,,CUUSS49ASEHA,CUUSS49ASEHC01,CWUSS49ASAA,,
Riverside-San Bernardino-Ontario,CUUSS49CSAF113,,,CUUSS49CSEHA,CUUSS49CSEHC01,CWUSS49CSAA,,
San Diego-Carlsbad,CUUSS49ESAF113,,,,CUUSS49ESEHC01,CWUSS49ESAA,,
San Francisco-Oakland-Hayward,CUUSS49BSAF113,,,CUUSS49BSEHA,CUUSS49BSEHC01,CWUSS49BSAA,,
Denver-Aurora-Lakewood,CUUSS48BSAF113,,,CUUSS48BSEHA,CUUSS48BSEHC01,"CUUSS48BSAA
",,
Tampa-St. Petersburg-Clearwater,CUUSS35DSAF113,,,CUUSS35DSEHA,CUUSS35DSEHC01,CUUSS35DSAA,,
Miami-Fort Lauderdale-West Palm Beach,CUUSS35BSAF113,CWUSS35BSAF112,,CUUSS35BSEHA,CUUSS35BSEHC01,CWUSS35BSAA,,
Atlanta-Sandy Springs-Roswell,CUUSS35CSAF113,,,CUUSS35CSEHA,CUUSS35CSEHC01,CUUSS35CSAA,,
Urban Hawaii,CUUSS49FSAF113,,,CUUSS49FSEHA,CUUSS49FSEHC01,CWUSS49FSAA,,
Chicago-Naperville-Elgin,,,,CUUSS23ASEHA,CUUSS23ASEHC01,CWURS23ASAA,,
St. Louis,,,,CUURS24BSEHA,CUURS24BSEHC01,CUURS24BSAA,,
Baltimore-Columbia-Towson,CUUSS35ESAF113,,,CUUSS35ESEHA,CUUSS35ESEHC01,CUUSS35ESAA,,
Washington-Arlington-Alexandria,CUURS35ASAF113,,,CUUSS35ASEHA,CUUSS35ASEHC01,CWUSS35ASAA,,
Boston-Cambridge-Newton,,,,CUURS11ASEHA,CUURS11ASEHC01,CWURS11ASAA,,
Detroit-Warren-Dearborn,,,,CUUSS23BSEHA,CUUSS23BSEHC01,CWUSS23BSAA,,
Minneapolis-St.Paul-Bloomington,,,,CUURS24ASEHA,,CUURS24ASAA,,
New York-Newark-Jersey City,,,,CUUSS12ASEHA,CUUSS12ASEHC01,CUUSS12ASAA,,
Philadelphia-Camden-Wilmington,,,,CUUSS12BSEHA,CUUSS12BSEHC01,,,
Dallas-Fort Worth-Arlington,CUUSS37ASAF113,,,CUUSS37ASEHA,CUUSS37ASEHC01,,,
Houston-The Woodlands-Sugar Land,CUUSS37BSAF113,CWUSS37BSAF112,,CUUSS37BSEHA,CUUSS37BSEHC01,,,
Seattle-Tacoma-Bellevue,CUUSS49DSAF113,,,CUUSS49DSEHA,CUUSS49DSEHC01,,,